item_id,field,area_name,area_order,section_name,section_order
1,vocabulary,General Concepts,10,Time,100
2,vocabulary,General Concepts,10,Day and Week,110
3,vocabulary,General Concepts,10,Month and Year,120
4,vocabulary,General Concepts,10,Space,130
5,vocabulary,General Concepts,10,Numbers,140
6,vocabulary,General Concepts,10,Colors,150
7,vocabulary,General Concepts,10,Shapes and Patterns,160
8,vocabulary,General Concepts,10,Materials and Textures,170
"9,vocabulary,General Concepts,10,""Size, Quantity and Measure"",180"
10,vocabulary,General Concepts,10,Containers,190
11,vocabulary,General Concepts,10,Mathematics,200
12,vocabulary,General Concepts,10,Order and Reference,210
13,vocabulary,General Concepts,10,Degree and Comparison,220
14,vocabulary,General Concepts,10,Ways and Methods,230
15,vocabulary,General Concepts,10,Cause and Effect,240
16,vocabulary,General Concepts,10,Condition and Change,250
17,vocabulary,General Concepts,10,Fate and Coincidence,260
18,vocabulary,General Concepts,10,Buying and Selling,270
19,vocabulary,General Concepts,10,Geographical Names,280
20,vocabulary,Speaking Strategies,20,Speech,100
21,vocabulary,Speaking Strategies,20,Key Phrases and Expressions,110
22,vocabulary,Speaking Strategies,20,Opinions and Views,120
23,vocabulary,Speaking Strategies,20,Asking and Answering,130
24,vocabulary,Speaking Strategies,20,Explaining and Informing,140
25,vocabulary,Speaking Strategies,20,Asserting and Denying,150
26,vocabulary,Speaking Strategies,20,Accepting and Rejecting,160
27,vocabulary,Speaking Strategies,20,Advice and Suggestions,170
28,vocabulary,Speaking Strategies,20,Showing Neutrality,180
"29,vocabulary,Speaking Strategies,20,""Certainty, Probability and Doubt"",190"
30,vocabulary,Speaking Strategies,20,Persuasion,200
31,vocabulary,Speaking Strategies,20,Praising and Complaining,210
"32,vocabulary,Speaking Strategies,20,""Wish, Request, Order"",220"
33,vocabulary,Speaking Strategies,20,Hopes and Desires,230
34,vocabulary,Speaking Strategies,20,Politeness and Compliments,240
35,vocabulary,Speaking Strategies,20,Small Talk,250
36,vocabulary,Speaking Strategies,20,Conversational Fillers,260
37,vocabulary,Speaking Strategies,20,Exclamations,270
38,vocabulary,Human Being,30,Personal Data,100
39,vocabulary,Human Being,30,Country,110
40,vocabulary,Human Being,30,Nationality,120
41,vocabulary,Human Being,30,Language,130
42,vocabulary,Human Being,30,Body,140
43,vocabulary,Human Being,30,Physical Conditions and Needs,150
44,vocabulary,Human Being,30,Physical Appearance,160
45,vocabulary,Human Being,30,Character,170
46,vocabulary,Human Being,30,Personality and Behaviour,180
47,vocabulary,Human Being,30,Mind and Thinking,190
48,vocabulary,Human Being,30,Emotions,200
49,vocabulary,Human Being,30,Abilities,210
50,vocabulary,Human Being,30,Activities,220
51,vocabulary,Human Being,30,Daily Routine,230
52,vocabulary,Human Being,30,Gesture and Movement,240
53,vocabulary,Human Being,30,Senses and Perceptions,250
54,vocabulary,Private Life,40,Family,100
55,vocabulary,Private Life,40,Friends,110
56,vocabulary,Private Life,40,Love,120
57,vocabulary,Private Life,40,Life Cycle,130
58,vocabulary,Sport,70,Training and Competition,100
59,vocabulary,Tourism,220,Country,100
60,vocabulary,Tourism,220,People,110
61,vocabulary,Tourism,220,Traveling,120
62,vocabulary,Tourism,220,Trip,130
63,vocabulary,Tourism,220,Accommodation and Facilities,140
64,vocabulary,Tourism,220,Entertainment and Sightseeing,150
65,vocabulary,Tourism,220,Gastronomy,160
66,vocabulary,Career,600,Company,10
67,vocabulary,Health,700,Health,10
68,vocabulary,Transport,800,Street Trafic,50
69,vocabulary,Private Life,900,Friends,10
70,vocabulary,Education,1000,School,10
71,grammar,Cases and Functions,10,Nominative,10
72,grammar,Cases and Functions,10,Accusative,20
73,grammar,Cases and Functions,10,Dative,30
74,grammar,Cases and Functions,10,Genitive,40
75,grammar,Noun,20,Gender,50
76,grammar,Noun,20,Plural,60
77,grammar,Noun,20,n-Declension,70
78,grammar,Noun,20,Declension,80
79,grammar,Noun,20,Word Formation,90
80,grammar,Article,30,Definite,100
81,grammar,Article,30,Indefinite,110
82,grammar,Article,30,Definite and Indefinite,120
83,grammar,Article,30,Zero,130
84,grammar,Article,30,Negative,140
85,grammar,Article,30,Possessive,150
86,grammar,Article,30,Demonstrative,160
87,grammar,Article,30,Interrogative,170
88,grammar,Article,30,Other Articles,180
89,grammar,Article,30,Use of the Article,190
90,grammar,Adjective,40,Predicative,200
91,grammar,Adjective,40,Attributive,210
92,grammar,Adjective,40,Negation of Predicative Adjective,220
93,grammar,Adjective,40,Declension,230
94,grammar,Adjective,40,Comparative and Superlative,240
95,grammar,Adjective,40,Used as Nouns,250
96,grammar,Adjective,40,Participles used as Adjectives,260
97,grammar,Adjective,40,Word Formation,270
98,grammar,Adjective,40,Graduation,280
99,grammar,Adjective,40,Case Government,290
100,grammar,Pronoun,50,Personal Pronoun,300
101,grammar,Pronoun,50,Demonstrative,310
102,grammar,Pronoun,50,Indefinite,320
103,grammar,Pronoun,50,Possesive,330
104,grammar,Pronoun,50,Interrogative,340
105,grammar,Pronoun,50,Reciprocal,350
106,grammar,Preposition,60,Genitiversatz,360
107,grammar,Preposition,60,Local,370
108,grammar,Preposition,60,Temporal,380
109,grammar,Preposition,60,Modal,390
110,grammar,Preposition,60,Causal,400
111,grammar,Preposition,60,Case Government,410
112,grammar,Adverb,70,Modal,420
113,grammar,Adverb,75,General,425
114,grammar,Adverb,70,Local,430
115,grammar,Adverb,70,Temporal,440
116,grammar,Adverb,70,Quantity and Quality,450
117,grammar,Adverb,70,Case Government,460
118,grammar,Adverb,70,Comparative and Superlative,470
119,grammar,Adverb,70,with Prepositions,480
120,grammar,Adverb,70,Word Formation,490
121,grammar,Numeral,80,Cardinal,500
122,grammar,Numeral,80,Ordinal,510
123,grammar,Verb,90,Present Tense,520
124,grammar,Verb,90,Word Order,530
125,grammar,Verb,90,Regular and Irregular,540
126,grammar,Verb,90,Separable,550
127,grammar,Verb,90,Separable and Inseparable,560
128,grammar,Verb,90,Reflexive,570
129,grammar,Verb,90,Present Tense,580
130,grammar,Verb,90,Past Tense,590
131,grammar,Verb,90,Perfect Tense,600
132,grammar,Verb,90,Past Perfect Tence,610
133,grammar,Verb,90,Future,620
134,grammar,Verb,90,Indicative,630
135,grammar,Verb,90,Imperative,640
136,grammar,Verb,90,Interrogative,650
137,grammar,Verb,90,Subjunctive I,660
138,grammar,Verb,90,Subjunctive II,670
139,grammar,Verb,90,Active and Passive,680
140,grammar,Verb,90,Case Government,690
141,grammar,Verb,90,with fixed Expressions,700
142,grammar,Verb,90,with Dative,710
143,grammar,Verb,90,Participle,720
144,grammar,Verb,90,with Prepositions,730
145,grammar,Verb,90,Word Formation,740
146,grammar,Main Clause,100,Punctuation,750
147,grammar,Main Clause,100,Affirmative,760
148,grammar,Main Clause,100,Verbzweistellung,770
149,grammar,Main Clause,100,Interrogative (Ergänzungsfrage),780
150,grammar,Main Clause,100,Yes / No Interrogative (Entscheidungsfrage),790
151,grammar,Main Clause,100,Negation of Affirmative Clauses,800
152,grammar,Main Clause,100,Satzklammer für Modalverben,810
153,grammar,Main Clause,100,Satzklammer für Perfekt,820
154,grammar,Main Clause,100,Satzklammer für trennbare Verben,830
155,grammar,Main Clause,100,Satzklammer für Fragen mit Modalverben,840
156,grammar,Main Clause,100,Interrogative Sentence in Perfect Tense,850
157,grammar,Main Clause,100,Connectors,860
158,grammar,Subordinate Clauses,110,dass-,10
159,grammar,Subordinate Clauses,110,Relative,20
160,grammar,Subordinate Clauses,110,Temporal,30
161,grammar,Subordinate Clauses,110,Causal,40
162,grammar,Subordinate Clauses,110,Conditional,50
163,grammar,Subordinate Clauses,110,Consecutive,60
164,grammar,Subordinate Clauses,110,Concessive,70
165,grammar,Subordinate Clauses,110,of Manner,80
166,grammar,Subordinate Clauses,110,of Purpose,90
167,grammar,Subordinate Clauses,110,Interrogative,100
168,grammar,Subordinate Clauses,110,Infinitive Constructions,110
